Set,color,num_critic_for_reviews,duration,gross,movie_title,num_voted_users,content_rating,budget,title_year,imdb_score,aspect_ratio,movies_made,english,num_genre,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Genre_Other,actor_1_n_movies,actor_2_n_movies,actor_3_n_movies,num_pop_actors
train,1,723,178,760505847,Avatar ,886204,PG-13,237000000,2009,7.9,1.78,6,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,6,6,0
train,1,302,169,309404152,Pirates of the Caribbean: At World's End ,471220,PG-13,300000000,2007,7.1,2.35,7,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,8,5,2
train,1,813,164,448130642,The Dark Knight Rises ,1144337,PG-13,250000000,2012,8.5,2.35,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,20,18,3
train,1,392,156,336530303,Spider-Man 3 ,383056,PG-13,258000000,2007,6.2,2.35,9,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,24,18,3
train,1,324,100,200807262,Tangled ,294810,PG,260000000,2010,7.8,1.85,1,1,7,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,5,2,5,0
train,1,673,183,330249062,Batman v Superman: Dawn of Justice ,371639,PG-13,250000000,2016,6.9,2.35,7,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,1,2
train,1,434,169,200069408,Superman Returns ,240396,PG-13,209000000,2006,6.1,2.35,7,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,9,9,2
train,1,313,151,423032628,Pirates of the Caribbean: Dead Man's Chest ,522040,PG-13,225000000,2006,7.3,2.35,7,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,8,5,2
train,1,450,150,89289910,The Lone Ranger ,181792,PG-13,215000000,2013,6.5,2.35,7,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,2,18,1
train,1,733,143,291021565,Man of Steel ,548573,PG-13,225000000,2013,7.2,2.35,7,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,6,9,2
train,1,258,150,141614023,The Chronicles of Narnia: Prince Caspian ,149922,PG,225000000,2008,6.6,2.35,4,1,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1
train,1,703,173,623279547,The Avengers ,995415,PG-13,220000000,2012,8.1,1.85,3,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,26,17,3
train,1,448,136,241063875,Pirates of the Caribbean: On Stranger Tides ,370704,PG-13,250000000,2011,6.7,2.35,5,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,3,3,2
train,1,451,106,179020854,Men in Black 3 ,268154,PG-13,225000000,2012,6.8,1.85,7,1,6,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,19,2,1,1
train,1,599,153,262030663,The Amazing Spider-Man ,451803,PG-13,230000000,2012,7,2.35,3,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,4,2,2
train,1,343,156,105219735,Robin Hood ,211765,PG-13,200000000,2010,6.7,2.35,14,1,4,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,12,1,0
train,1,509,186,258355354,The Hobbit: The Desolation of Smaug ,483540,PG-13,225000000,2013,7.9,2.35,5,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1
train,1,251,113,70083519,The Golden Compass ,149019,PG-13,180000000,2007,6.1,2.35,4,1,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,3,6,2
train,1,315,194,658672302,Titanic ,793059,PG-13,200000000,1997,7.7,2.35,6,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,15,1,2
